genus,gonality,torsion,ranks,scrollar invariants,ak,bk,n,ell
21,3,"[2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 16, 17, 19, 21]","{0: 0, 1: 8, 2: 23}",6,6,14,3
21,3,"[2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 14, 15, 17, 18]","{0: 0, 1: 9, 2: 23}",6,7,13,4
21,3,"[2, 2, 2, 2, 0, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 15, 16, 18]","{0: 0, 1: 9, 2: 23}",6,8,13,5
21,3,"[2, 2, 2, 2, 0, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 14, 16, 18]","{0: 0, 1: 9, 2: 23}",6,9,13,6
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 14, 16, 18]","{0: 0, 1: 9, 2: 23}",6,10,13,6
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 14, 16, 18]","{0: 0, 1: 9, 2: 23}",6,11,13,7
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 14, 15]","{0: 0, 1: 10, 2: 23}",6,12,12,7
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 14, 15]","{0: 0, 1: 10, 2: 23}",6,13,12,8
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 15]","{0: 0, 1: 10, 2: 23}",6,14,12,8
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15]","{0: 0, 1: 10, 2: 23}",6,15,12,9
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 15]","{0: 0, 1: 10, 2: 23}",6,16,12,9
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 15]","{0: 0, 1: 10, 2: 23}",6,17,12,10
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]","{0: 0, 1: 11, 2: 23}",6,18,11,10
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]","{0: 0, 1: 11, 2: 23}",6,19,11,10
21,3,"[2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]","{0: 0, 1: 11, 2: 23}",6,20,11,10
21,3,"[2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 16, 17, 19, 21]","{0: 0, 1: 8, 2: 23}",7,7,14,3
21,3,"[2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 5, 6, 8, 9, 11, 12, 14, 15, 17, 18]","{0: 0, 1: 9, 2: 23}",7,8,13,4
21,3,"[2, 2, 2, 2, 2, 0, 3, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","[0, 1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 15, 16, 18]","{0: 0, 1: 9, 2: 23}",7,9,13,5
